Campaign,Page Name,Original URL,Trackable URL,Suggested Post Text
"facebook_events","Polissage Marbre","https://cciservices.online/marbre","https://cciservices.online/marbre?utm_source=facebook&utm_medium=social&utm_campaign=facebook_events&utm_content=polissage_marbre&utm_term=service_marbre","Découvrez Polissage Marbre avec CCI Services ! 🏠✨"
"facebook_events","Nettoyage Salon","https://cciservices.online/salon","https://cciservices.online/salon?utm_source=facebook&utm_medium=social&utm_campaign=facebook_events&utm_content=nettoyage_salon&utm_term=service_salon","Découvrez Nettoyage Salon avec CCI Services ! 🏠✨"
"facebook_events","Tapisserie","https://cciservices.online/tapisserie","https://cciservices.online/tapisserie?utm_source=facebook&utm_medium=social&utm_campaign=facebook_events&utm_content=tapisserie&utm_term=service_tapisserie","Découvrez Tapisserie avec CCI Services ! 🏠✨"
"facebook_promotion","Homepage","https://cciservices.online","https://cciservices.online/?utm_source=facebook&utm_medium=social&utm_campaign=facebook_promotion&utm_content=homepage&utm_term=homepage","Découvrez Homepage avec CCI Services ! 🏠✨"
"facebook_promotion","Articles de Conseils","https://cciservices.online/conseils","https://cciservices.online/conseils?utm_source=facebook&utm_medium=social&utm_campaign=facebook_promotion&utm_content=articles_de_conseils&utm_term=content","Découvrez Articles de Conseils avec CCI Services ! 🏠✨"
"facebook_promotion","Services de Nettoyage","https://cciservices.online/services","https://cciservices.online/services?utm_source=facebook&utm_medium=social&utm_campaign=facebook_promotion&utm_content=services_de_nettoyage&utm_term=services","Découvrez Services de Nettoyage avec CCI Services ! 🏠✨"
"facebook_promotion","Devis Gratuit","https://cciservices.online/devis","https://cciservices.online/devis?utm_source=facebook&utm_medium=social&utm_campaign=facebook_promotion&utm_content=devis_gratuit&utm_term=conversion","Découvrez Devis Gratuit avec CCI Services ! 🏠✨"
"facebook_promotion","Vidéos Reels","https://cciservices.online/reels","https://cciservices.online/reels?utm_source=facebook&utm_medium=social&utm_campaign=facebook_promotion&utm_content=vid%C3%A9os_reels&utm_term=video","Découvrez Vidéos Reels avec CCI Services ! 🏠✨"
"facebook_promotion","Contact","https://cciservices.online/contact","https://cciservices.online/contact?utm_source=facebook&utm_medium=social&utm_campaign=facebook_promotion&utm_content=contact&utm_term=contact","Découvrez Contact avec CCI Services ! 🏠✨"
"facebook_promotion","Nettoyage Tapis","https://cciservices.online/tapis","https://cciservices.online/tapis?utm_source=facebook&utm_medium=social&utm_campaign=facebook_promotion&utm_content=nettoyage_tapis&utm_term=service_tapis","Découvrez Nettoyage Tapis avec CCI Services ! 🏠✨"
"facebook_promotion","Polissage Marbre","https://cciservices.online/marbre","https://cciservices.online/marbre?utm_source=facebook&utm_medium=social&utm_campaign=facebook_promotion&utm_content=polissage_marbre&utm_term=service_marbre","Découvrez Polissage Marbre avec CCI Services ! 🏠✨"
"facebook_promotion","Nettoyage Salon","https://cciservices.online/salon","https://cciservices.online/salon?utm_source=facebook&utm_medium=social&utm_campaign=facebook_promotion&utm_content=nettoyage_salon&utm_term=service_salon","Découvrez Nettoyage Salon avec CCI Services ! 🏠✨"
"facebook_promotion","Tapisserie","https://cciservices.online/tapisserie","https://cciservices.online/tapisserie?utm_source=facebook&utm_medium=social&utm_campaign=facebook_promotion&utm_content=tapisserie&utm_term=service_tapisserie","Découvrez Tapisserie avec CCI Services ! 🏠✨"
