Category,Keyword,Search Intent,Competition,Target URL,Optimization Status,Content Type,Priority,Clicks,Impressions,Current Position,CTR,Search Volume,Trend,Last Updated
Marbre & Pierre,restauration marbre tunis,Commercial,High,/marbre,Optimized,Service Page,High,75,1581,2,4.74,465,Declining,2025-10-15
Marbre & Pierre,entretien marbre,Informational,Medium,/blog/entretien-marbre-conseils,Optimized,Blog Post,High,28,821,0,3.41,202,Dropped Out,2025-10-15
Marbre & Pierre,marbre blanc,Informational,Low,/blog/entretien-marbre-blanc,Optimized,Blog Post,High,9,361,0,2.49,267,Dropped Out,2025-10-15
Marbre & Pierre,protection marbre,Informational,Medium,/blog/protection-marbre-guide,Optimized,Blog Post,High,21,1276,0,1.65,137,Dropped Out,2025-10-15
Marbre & Pierre,polissage marbre tunisie,Commercial,High,/,Needs Optimization,Homepage,High,0,0,0,0,350,Stable,2025-10-15
Marbre & Pierre,polissage marbre tunisie,Commercial,High,/marbre,Needs Optimization,Service Page,High,0,0,0,0,350,Stable,2025-10-15
Marbre & Pierre,ponçage marbre tunisie,Commercial,High,/,Needs Optimization,Homepage,High,0,0,0,0,320,Stable,2025-10-15
Marbre & Pierre,ponçage marbre tunisie,Commercial,High,/marbre,Needs Optimization,Service Page,High,0,0,0,0,320,Stable,2025-10-15
Marbre & Pierre,lustrage marbre tunisie,Commercial,Medium,/,Needs Optimization,Homepage,High,0,0,40,0,280,New Entry,2025-10-15
Marbre & Pierre,lustrage marbre tunisie,Commercial,Medium,/marbre,Needs Optimization,Service Page,High,0,0,40,0,280,New Entry,2025-10-15
Marbre & Pierre,protection marbre tunisie,Commercial,Medium,/,Needs Optimization,Homepage,High,0,0,0,0,240,Stable,2025-10-15
Marbre & Pierre,protection marbre tunisie,Commercial,Medium,/marbre,Needs Optimization,Service Page,High,0,0,0,0,240,Stable,2025-10-15
Marbre & Pierre,cristallisation marbre tunisie,Commercial,High,/,Needs Optimization,Homepage,High,0,0,0,0,380,Stable,2025-10-15
Marbre & Pierre,cristallisation marbre tunisie,Commercial,High,/marbre,Needs Optimization,Service Page,High,0,0,0,0,380,Stable,2025-10-15
Post-Chantier TFC,nettoyage post-chantier tunisie,Commercial,Medium,/tfc,Optimized,Service Page,High,54,368,0,14.67,492,Dropped Out,2025-10-15
Post-Chantier TFC,fin de travaux,Commercial,Medium,/tfc,Needs Optimization,Service Page,High,42,388,0,10.82,273,Dropped Out,2025-10-15
Post-Chantier TFC,dépoussiérage professionnel,Informational,Low,/blog/depoussierage-professionnel,Optimized,Blog Post,High,24,757,0,3.17,126,Stable,2025-10-15
Post-Chantier TFC,décapage sols,Informational,Low,/blog/decapage-sols-guide,Optimized,Blog Post,High,30,902,0,3.33,262,Stable,2025-10-15
Post-Chantier TFC,nettoyage vitres chantier,Commercial,Low,/blog/nettoyage-vitres-chantier,Not Optimized,Blog Post,High,3,270,0,1.11,184,Stable,2025-10-15
Post-Chantier TFC,nettoyage après travaux,Commercial,Medium,/tfc,Needs Optimization,Service Page,High,13,456,0,2.85,184,Stable,2025-10-15
Tapisserie,tapisserie sur mesure tunis,Commercial,Medium,/tapisserie,Optimized,Service Page,High,87,1363,0,6.38,206,Stable,2025-10-15
Tapisserie,retapissage,Informational,Low,/blog/retapissage-guide,Not Optimized,Blog Post,High,3,1097,0,0.27,221,Stable,2025-10-15
Tapisserie,rembourrage canapés,Informational,Low,/blog/rembourrage-canapes,Not Optimized,Blog Post,Medium,9,153,0,5.88,110,Stable,2025-10-15
Tapisserie,tissus ignifuges,Informational,Low,/blog/tissus-ignifuges-guide,Not Optimized,Blog Post,High,19,230,0,8.26,137,Stable,2025-10-15
Tapisserie,remplacement mousse,Informational,Low,/blog/remplacement-mousse-canape,Not Optimized,Blog Post,Medium,49,505,0,9.7,225,Stable,2025-10-15
Tapisserie,tapisserie nautique,Commercial,Low,/tapisserie,Needs Optimization,Service Page,High,45,830,0,5.42,90,Stable,2025-10-15
Tapisserie,confection sur mesure,Commercial,Low,/tapisserie,Needs Optimization,Service Page,High,39,847,0,4.6,76,Stable,2025-10-15
Tapisserie,rénovation fauteuil,Informational,Medium,/blog/renovation-fauteuil-guide,Not Optimized,Blog Post,Medium,22,111,0,19.82,278,Stable,2025-10-15
Pricing & Services,prix nettoyage tapis tunis,Commercial,Medium,/blog/prix-nettoyage-tapis,Not Optimized,Blog Post,High,22,817,0,2.69,416,Stable,2025-10-15
Pricing & Services,tarif nettoyage tapis,Commercial,Medium,/blog/tarifs-nettoyage-tapis,Not Optimized,Blog Post,High,24,920,0,2.61,290,Stable,2025-10-15
Pricing & Services,devis nettoyage tapis,Transactional,High,/devis,Optimized,Landing Page,High,122,2012,0,6.06,433,Stable,2025-10-15
Pricing & Services,cout nettoyage tapis tunisie,Commercial,Medium,/blog/cout-nettoyage-tapis,Not Optimized,Blog Post,High,34,481,0,7.07,404,Stable,2025-10-15
Pricing & Services,prix injection extraction,Commercial,Low,/blog/prix-injection-extraction,Not Optimized,Blog Post,High,28,244,0,11.48,283,Stable,2025-10-15
Pricing & Services,devis gratuit,Transactional,High,/devis,Optimized,Landing Page,High,104,992,0,10.48,334,Stable,2025-10-15
Pricing & Services,simulateur devis nettoyage tunisie,Transactional,Low,/devis,Optimized,Landing Page,High,50,1175,1,4.26,325,New Entry,2025-10-15
Pricing & Services,prix transparent,Commercial,Low,/blog/prix-transparent-nettoyage,Not Optimized,Blog Post,High,6,933,0,0.64,92,Stable,2025-10-15
Pricing & Services,devis en ligne,Transactional,Medium,/devis,Optimized,Landing Page,High,50,1965,0,2.54,192,Stable,2025-10-15
Pricing & Services,tarif nettoyage salon tunisie,Commercial,Medium,/blog/tarif-nettoyage-salon,Not Optimized,Blog Post,High,9,494,0,1.82,457,Stable,2025-10-15
Specialized Services,comment nettoyer canapé cuir,Informational,Medium,/blog/nettoyer-canape-cuir,Not Optimized,Blog Post,High,13,1177,0,1.1,185,Stable,2025-10-15
Specialized Services,entretien canapé cuir tunis,Commercial,Low,/blog/entretien-canape-cuir,Not Optimized,Blog Post,High,64,269,0,23.79,153,Stable,2025-10-15
Specialized Services,nettoyage cuir professionnel,Commercial,Low,/blog/nettoyage-cuir-professionnel,Not Optimized,Blog Post,High,34,369,0,9.21,231,Stable,2025-10-15
Specialized Services,produits nettoyage cuir,Informational,Low,/blog/produits-nettoyage-cuir,Not Optimized,Blog Post,High,7,705,0,0.99,209,Stable,2025-10-15
Specialized Services,détartrage marbre cuisine,Informational,Medium,/blog/detartrage-marbre-cuisine,Not Optimized,Blog Post,High,10,243,0,4.12,124,Stable,2025-10-15
Specialized Services,entretien marbre cuisine tunis,Commercial,Low,/blog/entretien-marbre-cuisine,Not Optimized,Blog Post,High,72,479,0,15.03,266,Stable,2025-10-15
Specialized Services,nettoyer plan travail marbre,Informational,Medium,/blog/nettoyer-plan-travail-marbre,Not Optimized,Blog Post,Low,24,129,0,18.6,141,Stable,2025-10-15
Specialized Services,marbre cuisine calcaire,Informational,Low,/blog/marbre-cuisine-calcaire,Not Optimized,Blog Post,High,21,175,0,12,237,Stable,2025-10-15
Geographic Areas,nettoyage ariana,Commercial,Medium,/services,Needs Optimization,Service Page,High,52,673,0,7.73,225,Stable,2025-10-15
Geographic Areas,services nettoyage ariana,Commercial,Medium,/services,Needs Optimization,Service Page,High,48,958,0,5.01,322,Stable,2025-10-15
Geographic Areas,nettoyage tapis ariana,Commercial,Medium,/tapis,Needs Optimization,Service Page,High,33,975,0,3.38,308,Stable,2025-10-15
Geographic Areas,marbre ariana,Commercial,Low,/marbre,Needs Optimization,Service Page,High,69,839,0,8.22,71,Stable,2025-10-15
Geographic Areas,CCI services ariana,Commercial,Low,/services,Needs Optimization,Service Page,High,31,900,2,3.44,259,New Entry,2025-10-15
Geographic Areas,nettoyage la marsa,Commercial,Medium,/services,Needs Optimization,Service Page,High,28,655,0,4.27,184,Stable,2025-10-15
Geographic Areas,services carthage,Commercial,Low,/services,Needs Optimization,Service Page,High,48,427,0,11.24,168,Stable,2025-10-15
Geographic Areas,nettoyage prestige tunis,Commercial,Medium,/services,Needs Optimization,Service Page,High,6,1244,0,0.48,335,Stable,2025-10-15
Geographic Areas,marbre la marsa,Commercial,Low,/marbre,Needs Optimization,Service Page,High,13,1309,0,0.99,266,Stable,2025-10-15
Geographic Areas,CCI services premium,Commercial,Low,/services,Needs Optimization,Service Page,High,63,598,1,10.54,304,New Entry,2025-10-15
Technical Methods,injection-extraction,Informational,Medium,/blog/injection-extraction-guide,Optimized,Blog Post,High,87,893,0,9.74,237,Stable,2025-10-15
Technical Methods,lavage vapeur,Informational,Medium,/blog/lavage-vapeur-technique,Not Optimized,Blog Post,Medium,18,299,0,6.02,132,Stable,2025-10-15
Technical Methods,nettoyage à sec,Informational,Medium,/blog/nettoyage-sec-technique,Not Optimized,Blog Post,High,34,262,0,12.98,289,Stable,2025-10-15
Technical Methods,shampooing,Informational,Low,/blog/shampooing-technique,Not Optimized,Blog Post,Medium,41,907,0,4.52,102,Stable,2025-10-15
Technical Methods,cristallisation,Informational,High,/blog/cristallisation-technique,Not Optimized,Blog Post,High,37,1071,0,3.45,320,Stable,2025-10-15
Technical Methods,polissage,Informational,Medium,/blog/polissage-technique,Not Optimized,Blog Post,High,15,174,0,8.62,180,Stable,2025-10-15
Technical Methods,ponçage,Informational,Medium,/blog/poncage-technique,Not Optimized,Blog Post,Low,26,719,0,3.62,151,Stable,2025-10-15
Technical Methods,lustrage,Informational,Low,/blog/lustrage-technique,Not Optimized,Blog Post,High,3,663,0,0.45,96,Stable,2025-10-15
Technical Methods,encapsulation,Informational,Low,/blog/encapsulation-technique,Not Optimized,Blog Post,High,61,209,0,29.19,84,Stable,2025-10-15
Technical Methods,détachage,Informational,Medium,/blog/detachage-technique,Not Optimized,Blog Post,Low,6,281,0,2.14,173,Stable,2025-10-15
Technical Methods,désinfection,Informational,Medium,/blog/desinfection-technique,Not Optimized,Blog Post,High,22,835,0,2.63,294,Stable,2025-10-15
Technical Methods,séchage rapide,Informational,Low,/blog/sechage-rapide-technique,Not Optimized,Blog Post,High,9,1110,0,0.81,122,Stable,2025-10-15
Materials & Surfaces,marbre,Informational,High,/marbre,Optimized,Service Page,High,123,1778,0,6.92,245,Stable,2025-10-15
Materials & Surfaces,granit,Informational,Medium,/blog/entretien-granit,Not Optimized,Blog Post,Low,43,542,0,7.93,198,Stable,2025-10-15
Materials & Surfaces,travertin,Informational,Low,/blog/entretien-travertin,Not Optimized,Blog Post,Low,36,486,0,7.41,108,Stable,2025-10-15
Materials & Surfaces,moquette,Informational,High,/tapis,Optimized,Service Page,High,144,1624,0,8.87,240,Stable,2025-10-15
Materials & Surfaces,tapis,Informational,High,/tapis,Optimized,Service Page,High,42,2086,0,2.01,209,Stable,2025-10-15
Materials & Surfaces,canapé,Informational,High,/salon,Optimized,Service Page,High,141,602,0,23.42,293,Stable,2025-10-15
Materials & Surfaces,salon,Informational,High,/salon,Optimized,Service Page,High,126,360,0,35,339,Stable,2025-10-15
Materials & Surfaces,rideaux,Informational,Low,/blog/nettoyage-rideaux,Not Optimized,Blog Post,High,9,1014,0,0.89,265,Stable,2025-10-15
Materials & Surfaces,matelas,Informational,Medium,/blog/nettoyage-matelas,Not Optimized,Blog Post,Medium,18,793,0,2.27,198,Error,2025-10-15
Materials & Surfaces,tissus d'ameublement,Informational,Low,/blog/nettoyage-tissus-ameublement,Not Optimized,Blog Post,High,73,284,0,25.7,170,Error,2025-10-15
Materials & Surfaces,cuir,Informational,Medium,/blog/nettoyage-cuir-guide,Not Optimized,Blog Post,High,34,1036,0,3.28,277,Error,2025-10-15
Materials & Surfaces,microfibre,Informational,Low,/blog/nettoyage-microfibre,Not Optimized,Blog Post,High,51,1199,0,4.25,91,Error,2025-10-15
Materials & Surfaces,velours,Informational,Low,/blog/nettoyage-velours,Not Optimized,Blog Post,High,45,1007,0,4.47,206,Error,2025-10-15
Materials & Surfaces,coton,Informational,Low,/blog/nettoyage-coton,Not Optimized,Blog Post,High,19,336,0,5.65,195,Error,2025-10-15
Materials & Surfaces,lin,Informational,Low,/blog/nettoyage-lin,Not Optimized,Blog Post,Medium,25,904,0,2.77,254,Error,2025-10-15
Professional Services Inquiries,services nettoyage professionnel près de moi,Local Commercial,High,/services,Not Optimized,Service Page,High,30,500,0,6,357,Error,2025-10-15
Professional Services Inquiries,entreprise nettoyage industriel fiable Tunisie,Commercial,High,/services,Not Optimized,Service Page,High,37,748,0,4.95,686,Error,2025-10-15
Professional Services Inquiries,nettoyage professionnel bureaux options,Commercial,High,/services,Not Optimized,Service Page,High,16,391,0,4.09,355,Error,2025-10-15
Professional Services Inquiries,tarifs moyens nettoyage après travaux,Commercial,High,/blog/tarifs-nettoyage-apres-travaux,Not Optimized,Blog Post,High,16,971,0,1.65,489,Error,2025-10-15
Professional Services Inquiries,entreprise nettoyage écologique commerces,Commercial,High,/services,Not Optimized,Service Page,High,4,458,0,0.87,483,Error,2025-10-15
Professional Services Inquiries,réserver service nettoyage événement professionnel,Transactional,High,/contact,Not Optimized,Service Page,High,7,172,0,4.07,401,Error,2025-10-15
Professional Services Inquiries,contrats nettoyage réguliers immeubles,Commercial,High,/services,Not Optimized,Service Page,High,48,1329,0,3.61,307,Error,2025-10-15
Professional Services Inquiries,services nettoyage vitres en hauteur,Commercial,Medium,/services,Not Optimized,Service Page,High,19,204,0,9.31,231,Error,2025-10-15
Professional Services Inquiries,service désinfection professionnelle locaux commerciaux,Commercial,High,/services,Not Optimized,Service Page,High,73,924,0,7.9,368,Error,2025-10-15
Professional Services Inquiries,nettoyage spécialisé cuisines industrielles,Commercial,High,/services,Not Optimized,Service Page,High,12,257,0,4.67,368,Error,2025-10-15
Marbre,nettoyage marbre tunis,Commercial,Medium,/marbre,Not Optimized,Article,High,30,867,0,3.46,338,Error,2025-10-15
Marbre,détachage marbre tunis,Commercial,Medium,/marbre,Not Optimized,Article,High,70,464,0,15.09,339,Error,2025-10-15
Marbre,lavage marbre tunis,Commercial,Medium,/marbre,Not Optimized,Article,High,60,1176,0,5.1,378,Error,2025-10-15
Marbre,entretien marbre tunis,Commercial,Medium,/marbre,Not Optimized,Article,High,70,916,0,7.64,300,Error,2025-10-15
Tapis,nettoyage tapisserie tunis,Commercial,Medium,/tapis,Not Optimized,Article,High,28,1038,0,2.7,370,Error,2025-10-15
Tapis,détachage tapisserie tunis,Commercial,Medium,/tapis,Not Optimized,Article,High,34,608,0,5.59,240,Error,2025-10-15
Tapis,lavage tapisserie tunis,Commercial,Medium,/tapis,Not Optimized,Article,High,0,843,0,0,213,Error,2025-10-15
Tapis,entretien tapisserie tunis,Commercial,Medium,/tapis,Not Optimized,Article,High,15,447,0,3.36,202,Error,2025-10-15
Tapis,détachage tapis tunis,Commercial,Medium,/tapis,Not Optimized,Article,High,18,382,0,4.71,372,Error,2025-10-15
Tapis,lavage tapis tunis,Commercial,Medium,/tapis,Not Optimized,Article,High,42,562,0,7.47,213,Error,2025-10-15
Tapis,entretien tapis tunis,Commercial,Medium,/tapis,Not Optimized,Article,High,58,852,0,6.81,364,Error,2025-10-15
Salon,détachage salon tunis,Commercial,Medium,/salon,Not Optimized,Article,High,0,595,0,0,288,Error,2025-10-15
Salon,lavage salon tunis,Commercial,Medium,/salon,Not Optimized,Article,High,16,533,0,3,385,Error,2025-10-15
Salon,entretien salon tunis,Commercial,Medium,/salon,Not Optimized,Article,High,21,652,0,3.22,268,Error,2025-10-15
Nettoyage,nettoyage rideaux tunis,Commercial,Medium,/services,Not Optimized,Article,High,30,266,0,11.28,315,Error,2025-10-15
Nettoyage,détachage rideaux tunis,Commercial,Medium,/services,Not Optimized,Article,High,63,1073,0,5.87,316,Error,2025-10-15
Nettoyage,lavage rideaux tunis,Commercial,Medium,/services,Not Optimized,Article,High,42,1428,0,2.94,353,Error,2025-10-15
Nettoyage,entretien rideaux tunis,Commercial,Medium,/services,Not Optimized,Article,High,51,486,0,10.49,384,Error,2025-10-15
Nettoyage,nettoyage matelas tunis,Commercial,Medium,/services,Not Optimized,Article,High,43,568,0,7.57,384,Error,2025-10-15
Nettoyage,détachage matelas tunis,Commercial,Medium,/services,Not Optimized,Article,High,49,1404,0,3.49,278,Error,2025-10-15
Geographic Areas,nettoyage el aouina,Commercial,Medium,/services,Not Optimized,Service Page,High,0,0,0,0,180,Error,2025-10-15
Geographic Areas,services nettoyage el aouina,Commercial,Medium,/services,Not Optimized,Service Page,High,0,0,0,0,150,Error,2025-10-15
Geographic Areas,CCI services el aouina,Commercial,Low,/services,Not Optimized,Service Page,High,0,0,0,0,120,Error,2025-10-15
